brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
ALGENIST,2,103.5,4.35,6.5,10,0.667,1.118,0,2.153,8,"Glycerin, Water, Caprylyl Glycol",15.92
KATE SOMERVILLE,5,75.0,4.22,5.6,10,0.667,1.024,0,1.732,4,"Water, Glycerin, Phenoxyethanol",13.39
CLARINS,2,73.5,4.15,4.5,10,0.667,1.046,0,2.034,5,"Glycerin, Water, Phenoxyethanol",16.33
BIOSSANCE,4,53.0,4.45,3.5,9,0.6,1.041,0,2.646,7,"Water, Caprylic/Capric Triglyceride, Glycerin",15.14
CLINIQUE,6,35.33,4.33,5.5,9,0.6,1.007,0,1.879,4,"Butylene Glycol, Phenoxyethanol, Water",6.42
KIEHL'S SINCE 1851,6,36.0,4.33,4.83,9,0.6,0.985,0,1.887,3,"Water, Phenoxyethanol, Glycerin",7.45
OLEHENRIKSEN,6,45.67,4.32,7.0,9,0.6,1.122,0,2.168,5,"Phenoxyethanol, Water, Glycerin",6.52
FIRST AID BEAUTY,7,32.86,4.23,5.57,9,0.6,1.05,0,2.289,2,"Glycerin, Water, Phenoxyethanol",5.9
GLAMGLOW,4,54.0,4.15,6.75,9,0.6,1.075,0,2.103,7,"Glycerin, Phenoxyethanol, Water",8.0
DRUNK ELEPHANT,5,66.0,4.38,6.2,8,0.533,1.048,0,2.158,7,"Glycerin, Caprylyl Glycol, Water",10.65
TARTE,2,38.0,4.35,3.0,8,0.533,1.075,0,1.849,4,"Water, Phenoxyethanol, Glycerin",12.67
BOBBI BROWN,2,53.5,4.2,3.5,8,0.533,0.984,0,2.185,9,"Water, Butylene Glycol, Glycerin",15.29
PHILOSOPHY,4,46.75,4.2,2.75,8,0.533,1.06,0,1.748,5,"Glycerin, Water, Phenoxyethanol",17.0
SMASHBOX,3,38.67,4.03,5.33,8,0.533,1.008,0,2.182,4,"Water, Butylene Glycol, Phenoxyethanol",7.25
ESTÉE LAUDER,3,96.33,4.37,1.67,7,0.467,0.945,0,1.709,3,"Butylene Glycol, Phenoxyethanol, Sodium Hyaluronate",57.8
MURAD,5,57.0,4.34,8.6,7,0.467,1.074,0,1.961,3,"Butylene Glycol, Water, Phenoxyethanol",6.63
ORIGINS,8,42.88,4.2,6.88,7,0.467,0.939,0,1.907,6,"Butylene Glycol, Glycerin, Sodium Hyaluronate",6.24
SHISEIDO,4,73.0,4.15,2.25,7,0.467,0.909,0,1.973,7,"Butylene Glycol, Glycerin, Water",32.44
SUNDAY RILEY,3,83.33,4.13,6.67,7,0.467,1.023,0,1.672,1,"Phenoxyethanol, Water, Caprylyl Glycol",12.5
IT COSMETICS,6,44.67,4.08,14.33,7,0.467,1.149,1,1.664,3,"Butylene Glycol, Glycerin, Phenoxyethanol",3.12
LANEIGE,4,33.5,4.5,5.75,6,0.4,1.168,1,2.472,3,"Water, Ethylhexylglycerin, Glycerin",5.83
KORRES,2,51.0,4.4,6.0,6,0.4,1.078,0,2.029,3,"Water, Glycerin, Phenoxyethanol",8.5
CAUDALIE,8,64.0,4.34,5.0,6,0.4,1.131,0,2.372,7,"Water, Caprylyl Glycol, Potassium Sorbate",12.8
FARMACY,3,50.33,4.33,5.67,6,0.4,1.189,2,1.822,4,"Glycerin, Water, Caprylic/Capric Triglyceride",8.88
ERBORIAN,2,41.5,4.25,2.5,6,0.4,0.975,0,2.445,5,"Butylene Glycol, Water, Ethylhexylglycerin",16.6
DR. DENNIS GROSS SKINCARE,3,74.33,4.23,9.67,6,0.4,1.125,0,1.661,3,"Glycerin, Water, Butylene Glycol",7.69
DR. JART+,3,45.33,4.2,4.33,6,0.4,1.213,2,2.699,6,"Butylene Glycol, Glycerin, Water",10.46
AMOREPACIFIC,4,112.5,4.32,3.75,5,0.333,1.099,1,2.402,6,"Butylene Glycol, Glycerin, Water",30.0
LANCÔME,5,82.4,4.32,2.4,5,0.333,0.916,0,1.794,4,"Water, Glycerin, Phenoxyethanol",34.33
SK-II,3,146.0,4.17,1.67,5,0.333,1.12,0,3.064,6,"Water, Butylene Glycol, Glycerin",87.6
BELIF,2,36.0,4.6,8.0,4,0.267,1.025,2,2.932,7,"Water, Glycerin, Butylene Glycol",4.5
YOUTH TO THE PEOPLE,2,53.0,4.5,9.0,4,0.267,1.079,0,3.38,5,"Ethylhexylglycerin, Phenoxyethanol, Water",5.89
TATCHA,5,78.2,4.38,4.0,4,0.267,1.034,0,3.6,5,"Ethylhexylglycerin, Water, Glycerin",19.55
GLOW RECIPE,2,42.0,4.1,3.0,4,0.267,1.089,0,2.836,2,"Glycerin, Sodium Hyaluronate, Xanthan Gum",14.0
SATURDAY SKIN,2,44.0,4.6,3.5,3,0.2,1.341,2,3.576,2,"Glycerin, Water, Butylene Glycol",12.57
JOSIE MARAN,5,40.0,4.2,2.6,3,0.2,1.068,0,1.554,0,"Phenoxyethanol, Butylene Glycol, Caprylyl Glycol",15.38
HERBIVORE,5,49.8,4.26,4.2,1,0.067,0.953,0,2.577,1,Glycerin,11.86
GUERLAIN,3,44.33,4.2,0.33,0,0.0,,0,,0,,44.33
DIOR,2,105.0,4.1,0.0,0,0.0,,0,,0,,105.0
LA MER,5,148.0,3.86,4.8,0,0.0,0.824,0,2.28,1,,30.83
