brand,num_products,avg_price,avg_rating,avg_actives
ALGENIST,5,77.6,4.4,5.8
BECCA,2,38.0,3.9000000000000004,1.5
CAUDALIE,8,53.875,4.2375,3.75
CLARINS,3,76.33333333333333,4.133333333333333,3.6666666666666665
CLINIQUE,4,46.5,3.825,5.75
DIOR,4,90.75,4.6,0.0
DR. BRANDT SKINCARE,6,75.33333333333333,3.9166666666666665,6.166666666666667
DR. DENNIS GROSS SKINCARE,7,79.0,4.414285714285714,7.0
DR. JART+,3,44.666666666666664,4.233333333333333,7.0
DRUNK ELEPHANT,5,43.8,4.2,6.6
ESTÉE LAUDER,2,86.5,4.65,8.5
FIRST AID BEAUTY,4,39.5,4.35,8.25
GLAMGLOW,2,59.0,4.1,6.0
HERBIVORE,2,55.0,4.4,3.0
IT COSMETICS,3,41.333333333333336,3.8666666666666667,16.666666666666668
KATE SOMERVILLE,9,67.77777777777777,4.211111111111111,5.555555555555555
KIEHL'S SINCE 1851,5,45.0,4.1,3.6
KORRES,3,82.66666666666667,4.266666666666667,7.0
MOON JUICE,2,48.5,4.7,6.5
MURAD,11,55.45454545454545,4.172727272727273,6.454545454545454
OLEHENRIKSEN,4,50.25,4.325,7.0
ORIGINS,5,45.4,4.04,6.4
PEACE OUT,2,19.0,4.25,1.5
PERRICONE MD,5,83.6,4.32,4.2
PETER THOMAS ROTH,11,57.81818181818182,4.309090909090909,4.545454545454546
REN CLEAN SKINCARE,4,50.25,4.225,1.25
SHISEIDO,2,81.0,4.35,3.0
SUNDAY RILEY,2,70.0,4.1,7.5
