brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
INDIE LEE,2,32.0,4.4,4.0,3,0.2,1.338,2,6.468,3,"Water, Ethylhexylglycerin, Caprylic/Capric Triglyceride",8.0
DR. JART+,2,35.5,4.45,4.5,6,0.4,1.233,3,2.718,6,"Butylene Glycol, Glycerin, Water",7.89
FARMACY,3,30.67,4.47,3.33,6,0.4,1.212,4,2.067,5,"Glycerin, Water, Caprylic/Capric Triglyceride",9.2
BOSCIA,7,26.43,4.2,3.57,4,0.267,1.191,2,3.153,4,"Butylene Glycol, Glycerin, Water",7.4
SATURDAY SKIN,2,27.0,4.55,5.5,3,0.2,1.176,2,3.587,3,"Glycerin, Water, Butylene Glycol",4.91
CAUDALIE,7,27.0,4.23,2.29,6,0.4,1.145,1,2.548,6,"Water, Caprylyl Glycol, Potassium Sorbate",11.81
TATCHA,2,25.0,4.55,0.0,4,0.267,1.119,1,3.237,3,"Ethylhexylglycerin, Water, Glycerin",25.0
SEPHORA COLLECTION,2,7.0,4.15,0.0,8,0.533,1.116,2,3.327,10,"Glycerin, Phenoxyethanol, Butylene Glycol",7.0
LANEIGE,5,25.8,4.32,3.4,6,0.4,1.115,1,2.436,3,"Water, Ethylhexylglycerin, Glycerin",7.59
AMOREPACIFIC,2,55.0,4.6,2.5,5,0.333,1.114,2,2.045,5,"Butylene Glycol, Glycerin, Water",22.0
FRESH,2,33.5,3.75,3.5,11,0.733,1.113,1,2.434,6,"Water, Glycerin, Butylene Glycol",9.57
KATE SOMERVILLE,4,38.25,3.25,5.5,9,0.6,1.113,1,1.889,4,"Water, Glycerin, Phenoxyethanol",6.95
SUNDAY RILEY,3,42.67,4.17,5.0,7,0.467,1.08,2,1.787,4,"Phenoxyethanol, Water, Caprylyl Glycol",8.53
DRUNK ELEPHANT,4,27.0,4.42,2.25,7,0.467,1.076,1,2.224,6,"Glycerin, Caprylyl Glycol, Water",12.0
CLARINS,4,30.0,4.55,2.75,11,0.733,1.07,2,1.93,7,"Glycerin, Water, Phenoxyethanol",10.91
IT COSMETICS,2,33.0,4.6,16.0,7,0.467,1.066,1,1.372,2,"Butylene Glycol, Glycerin, Phenoxyethanol",2.06
CLINIQUE,11,23.91,4.4,3.91,9,0.6,1.055,1,1.976,6,"Butylene Glycol, Phenoxyethanol, Water",6.12
PERRICONE MD,3,42.67,4.4,2.33,8,0.533,1.055,1,1.685,4,"Water, Glycerin, Phenoxyethanol",18.29
KORRES,3,27.33,4.6,3.33,6,0.4,1.041,0,2.183,5,"Water, Glycerin, Phenoxyethanol",8.2
FIRST AID BEAUTY,5,29.6,4.26,7.4,8,0.533,1.031,1,2.331,5,"Glycerin, Water, Phenoxyethanol",4.0
ORIGINS,3,24.0,4.43,3.67,8,0.533,1.026,1,1.909,6,"Butylene Glycol, Glycerin, Sodium Hyaluronate",6.55
PETER THOMAS ROTH,3,38.67,4.3,5.0,9,0.6,1.021,1,2.037,7,"Water, Butylene Glycol, Glycerin",7.73
OLEHENRIKSEN,10,25.8,4.47,6.4,9,0.6,1.019,0,1.856,5,"Phenoxyethanol, Water, Glycerin",4.03
REN CLEAN SKINCARE,3,32.33,4.3,2.0,5,0.333,1.016,0,1.772,3,"Glycerin, Phenoxyethanol, Tocopherol",16.17
PHILOSOPHY,3,22.0,4.63,7.0,7,0.467,0.973,0,1.531,2,"Glycerin, Water, Phenoxyethanol",3.14
KIEHL'S SINCE 1851,10,26.0,4.35,3.8,8,0.533,0.964,0,1.967,6,"Water, Phenoxyethanol, Glycerin",6.84
GLAMGLOW,6,41.67,4.08,8.5,9,0.6,0.935,0,1.857,6,"Glycerin, Phenoxyethanol, Water",4.9
MURAD,2,34.0,4.35,5.0,6,0.4,0.93,0,1.819,3,"Butylene Glycol, Water, Phenoxyethanol",6.8
SHISEIDO,6,36.33,4.28,2.67,7,0.467,0.874,0,2.069,5,"Butylene Glycol, Glycerin, Water",13.63
